,title,detokenized_title
153,"['jiu', 'jitsu', 'techniques', '-', 'kimura', 'takedown', '/', 'attack']",jiu jitsu techniques - kimura takedown / attack
154,"['jiu', 'jitsu', 'techniques', '-standing', 'guard', 'pass', 'defense', '+', 'omoplata', 'armbar']",jiu jitsu techniques -standing guard pass defense + omoplata armbar
155,"['jiu', 'jitsu', 'techniques', '-', 'defence', 'escape', 'kata', 'gatame', 'choke']",jiu jitsu techniques - defence escape kata gatame choke
156,"['jiu', 'jitsu', 'techniques', '-', 'leg', 'lock', 'foot', 'lock', 'single', 'leg', 'takedown']",jiu jitsu techniques - leg lock foot lock single leg takedown
157,"['jiu', 'jitsu', 'techniques', '-', 'omoplata', 'defense', 'guard', 'pass']",jiu jitsu techniques - omoplata defense guard pass
158,"['jiu', 'jitsu', 'techniques', '-', 'triangle', 'set', 'kimura', 'north', 'south']",jiu jitsu techniques - triangle set kimura north south
159,"['jiu', 'jitsu', 'techniques', '-', 'baseball', ',', 'loop', ',', 'bow', 'arrow', 'choke', 'variations']","jiu jitsu techniques - baseball , loop , bow arrow choke variations"
160,"['jiu', 'jitsu', 'techniques', '-', 'lasso', 'guard', 'pass']",jiu jitsu techniques - lasso guard pass
161,"['jiu', 'jitsu', 'techniques', '-', 'darce', ',', 'guillotine', ',', 'twist', 'choke', '4']","jiu jitsu techniques - darce , guillotine , twist choke 4"
162,"['jiu', 'jitsu', 'techniques', '-', 'bow', 'arrow', 'choke', '4']",jiu jitsu techniques - bow arrow choke 4
163,"['jiu', 'jitsu', 'techniques-', 'bow', 'arrow', 'choke', 'close', 'guard']",jiu jitsu techniques- bow arrow choke close guard
164,"['jiu', 'jitsu', 'techniques', '-half-guard', 'defense', 'stall', 'opponents', '.']",jiu jitsu techniques -half-guard defense stall opponents .
165,"['jiu', 'jitsu', 'techniques', '-', 'triangle', 'defense', 'no-gi']",jiu jitsu techniques - triangle defense no-gi
166,"['jiu', 'jitsu', 'techniques', '-', 'mount', 'scape']",jiu jitsu techniques - mount scape
167,"['jiu', 'jitsu', 'techniques', '-50/50', 'sweep', 'foot', 'lock', 'attack']",jiu jitsu techniques -50/50 sweep foot lock attack
168,"['jiu', 'jitsu', 'techniques', '-', '50/50', 'guard', 'sweep', 'armbar']",jiu jitsu techniques - 50/50 guard sweep armbar
169,"['jiu', 'jitsu', 'techniques', '-', 'pass', 'butterfly', 'guard', 'clock', 'choke']",jiu jitsu techniques - pass butterfly guard clock choke
170,"['jiu', 'jitsu', 'techniques', '-', '``', 'x', '``', 'guard', 'sweep', 'triple', 'leg', 'sweep', 'guard', 'laco']",jiu jitsu techniques - `` x `` guard sweep triple leg sweep guard laco
171,"['jiu', 'jitsu', 'techniques', '-', 'attack', 'guard']",jiu jitsu techniques - attack guard
172,"['jiu', 'jitsu', 'techniques', '-', 'defense', ',', 'escape', 'submission', 'opponent', 'attack', 'back']","jiu jitsu techniques - defense , escape submission opponent attack back"
173,"['jiu', 'jitsu', 'techniques', '-', 'de', 'lariva', 'sweep']",jiu jitsu techniques - de lariva sweep
174,"['jiu', 'jitsu', 'techniques', '-', 'spider', 'guard', 'triangle', 'attack', 'variations']",jiu jitsu techniques - spider guard triangle attack variations
175,"['jiu', 'jitsu', 'techniques', '-', 'wrisrt', 'lock', 'pass', 'guard']",jiu jitsu techniques - wrisrt lock pass guard
176,"['jiu', 'jitsu', 'techniques', '-', 'de', 'lariva', 'pass', 'lasso', 'guard', 'escape']",jiu jitsu techniques - de lariva pass lasso guard escape
177,"['jiu', 'jitsu', 'techniques', '-', 'north', 'south', 'attack']",jiu jitsu techniques - north south attack
178,"['jiu', 'jitsu', 'techniques', '-', 'side', 'control', 'attack', 'part', '2']",jiu jitsu techniques - side control attack part 2
179,"['jiu', 'jitsu', 'techniques', '-', 'side', 'control', 'attack', '100', 'kg', 'attack', 'part', '1']",jiu jitsu techniques - side control attack 100 kg attack part 1
180,"['jiu', 'jitsu', 'techniques', '-', 'escape', 'scorpion', 'lock', 'half', 'guard']",jiu jitsu techniques - escape scorpion lock half guard
181,"['jiu', 'jitsu', 'techniques', '-', 'open', 'guard', '/', 'spider', 'guard', 'attack']",jiu jitsu techniques - open guard / spider guard attack
182,"['jiu', 'jitsu', 'techniques', '-', 'attack', 'spider', 'guard']",jiu jitsu techniques - attack spider guard
183,"['jiu', 'jitsu', 'techniques', '-', 'set', 'perfect', 'armbar']",jiu jitsu techniques - set perfect armbar
184,"['jiu', 'jitsu', 'techniques', '-', 'triangle', 'attack', 'four', 'turtle']",jiu jitsu techniques - triangle attack four turtle
185,"['jiu', 'jitsu', 'techniques', '-', 'armbar', 'guard']",jiu jitsu techniques - armbar guard
186,"['jiu', 'jitsu', 'techniques', '-', 'knee', 'bar', '/', 'foot', 'lock']",jiu jitsu techniques - knee bar / foot lock
187,"['jiu', 'jitsu', 'techniques', '-', 'cross', 'choke', '+', 'lapel', 'choke', 'options']",jiu jitsu techniques - cross choke + lapel choke options
188,"['jiu', 'jitsu', 'techniques', '-', 'take', 'back', 'half', 'guard']",jiu jitsu techniques - take back half guard
189,"['jiu', 'jitsu', 'techniques', '-', 'triangle', 'de', 'la', 'riva']",jiu jitsu techniques - triangle de la riva
190,"['jiu', 'jitsu', 'techniques', '-', 'submissions', 'spider', 'guard']",jiu jitsu techniques - submissions spider guard
191,"['jiu', 'jitsu', 'techniques', '-', 'spider', 'guard', 'pass']",jiu jitsu techniques - spider guard pass
192,"['jiu', 'jitsu', 'techniques', '-', 'armbar', 'butterfly/spider', 'guard']",jiu jitsu techniques - armbar butterfly/spider guard
193,"['jiu', 'jitsu', 'techniques', '-', 'low', 'guard', 'pass', 'defense', '+', 'triangle', 'setup']",jiu jitsu techniques - low guard pass defense + triangle setup
194,"['jiu', 'jitsu', 'techniques', '-', 'triangle', 'defense', '/', 'lapel', 'choke']",jiu jitsu techniques - triangle defense / lapel choke
195,"['jiu', 'jitsu', 'techniques', '-', 'take', 'back', '/foot', 'hips', 'defense']",jiu jitsu techniques - take back /foot hips defense
196,"['jiu', 'jitsu', 'techniques', '-', 'attack', 'de', 'la', 'riva']",jiu jitsu techniques - attack de la riva
197,"['jiu', 'jitsu', 'techniques', '-', 'low', 'guard', 'pass']",jiu jitsu techniques - low guard pass
198,"['jiu', 'jitsu', 'techniques', '-', 'armbar', 'spider', 'guard', '/', 'foot', 'hips']",jiu jitsu techniques - armbar spider guard / foot hips
199,"['jiu', 'jitsu', 'techniques', '-', 'half', 'guard', 'pass', '/', 'attack', 'back']",jiu jitsu techniques - half guard pass / attack back
200,"['jiu', 'jitsu', 'techniques', '-', 'attack', 'knee', 'belly']",jiu jitsu techniques - attack knee belly
201,"['jiu', 'jitsu', 'techniques', '-', 'sweep', 'de', 'la', 'riva', 'nogi']",jiu jitsu techniques - sweep de la riva nogi
202,"['jiu', 'jitsu', 'techniques', '-', 'sweep', 'de', 'la', 'riva', '/', 'knee', 'bar']",jiu jitsu techniques - sweep de la riva / knee bar
203,"['jiu', 'jitsu', 'techniques', '-', 'attack', '4', '/', 'turtle', 'guard']",jiu jitsu techniques - attack 4 / turtle guard
204,"['jiu', 'jitsu', 'techniques', '-', 'kimura', 'variation']",jiu jitsu techniques - kimura variation
205,"['jiu', 'jitsu', 'techniques', '-', 'half', 'guard', 'pass', '/', 'bicep', 'lock']",jiu jitsu techniques - half guard pass / bicep lock
206,"['jiu', 'jitsu', 'techniques', '-', 'loop', 'choke', 'side', 'control']",jiu jitsu techniques - loop choke side control
207,"['jiu', 'jitsu', 'techniques', '-', 'pass', 'spider', 'guard']",jiu jitsu techniques - pass spider guard
208,"['jiu', 'jitsu', 'techniques', '-', 'defense', 'attack', 'back']",jiu jitsu techniques - defense attack back
209,"['jiu', 'jitsu', 'techniques', '-', 'omoplata', 'attack', '/', 'defense']",jiu jitsu techniques - omoplata attack / defense
210,"['jiu', 'jitsu', 'techniques', '-', 'attack', 'turtle', 'guard']",jiu jitsu techniques - attack turtle guard
211,"['jiu', 'jitsu', 'techniques', '-', 'lapel', 'choke', 'inside', 'guard']",jiu jitsu techniques - lapel choke inside guard
212,"['jiu', 'jitsu', 'techniques', '-', 'armbar', 'knee', 'belly']",jiu jitsu techniques - armbar knee belly
213,"['jiu', 'jitsu', 'techniques', '-', 'attack', 'open', 'guard']",jiu jitsu techniques - attack open guard
214,"['jiu', 'jitsu', 'techniques', '-', 'leg', 'drag', 'defense']",jiu jitsu techniques - leg drag defense
215,"['jiu', 'jitsu', 'techniques', '-', 'half', 'guard', 'pass', 'defense']",jiu jitsu techniques - half guard pass defense
216,"['jiu', 'jitsu', 'techniques', '-', 'half', 'guard', 'pass']",jiu jitsu techniques - half guard pass
217,"['jiu', 'jitsu', 'techniques', '-', 'half', 'guard', 'sweep', '/', 'kneebar']",jiu jitsu techniques - half guard sweep / kneebar
218,"['jiu', 'jitsu', 'techniques', '-', 'attack', 'side', 'control', '-', 'kimura', '/', 'armbar']",jiu jitsu techniques - attack side control - kimura / armbar
219,"['jiu', 'jitsu', 'techniques', '-', 'armbar', 'defense']",jiu jitsu techniques - armbar defense
220,"['jiu', 'jitsu', 'techniques', '-', 'spider', 'guard/sweep', 'variation', 'x-guard']",jiu jitsu techniques - spider guard/sweep variation x-guard
221,"['jiu', 'jitsu', 'techniques', '-', 'de', 'la', 'riva', 'pass', '/', 'half', 'guard', 'attack']",jiu jitsu techniques - de la riva pass / half guard attack
222,"['jiu', 'jitsu', 'techniques', '-', 'de', 'la', 'riva', 'sweep', 'low', 'guard', 'pass']",jiu jitsu techniques - de la riva sweep low guard pass
223,"['jiu', 'jitsu', 'techniques', '-', 'attack', 'turtle', 'guard', '/', 'four']",jiu jitsu techniques - attack turtle guard / four
224,"['jiu', 'jitsu', 'techniques', '-', 'triangle', '/', 'armbar', 'butterfly', 'guard']",jiu jitsu techniques - triangle / armbar butterfly guard
225,"['jiu', 'jitsu', 'techniques', '-', 'ankle', 'lock', 'open', 'guard', 'pass']",jiu jitsu techniques - ankle lock open guard pass
226,"['jiu', 'jitsu', 'techniques', '-', 'attack', 'variations', 'turtle', 'guard']",jiu jitsu techniques - attack variations turtle guard
227,"['jiu', 'jitsu', 'techniques', '-', 'guard', 'pass', '+', 'armbar', 'option']",jiu jitsu techniques - guard pass + armbar option
228,"['jiu', 'jitsu', 'techniques', '-', 'omoplata', 'sweep', 'mount', '/', 'triangle']",jiu jitsu techniques - omoplata sweep mount / triangle
229,"['jiu', 'jitsu', 'techniques', '-', 'armbar', 'sweep', 'guard']",jiu jitsu techniques - armbar sweep guard
230,"['jiu', 'jitsu', 'techniques', '-', 'take', 'back', '/', 'collar', 'choke', 'turtle']",jiu jitsu techniques - take back / collar choke turtle
231,"['jiu', 'jitsu', 'techniques', '-', 'triangle', 'spider', 'guard']",jiu jitsu techniques - triangle spider guard
232,"['jiu', 'jitsu', 'techniques', '-', 'spider', 'guard', 'sweep']",jiu jitsu techniques - spider guard sweep
233,"['jiu', 'jitsu', 'techniques', '-', 'omoplata', 'sweep']",jiu jitsu techniques - omoplata sweep
234,"['jiu', 'jitsu', 'techniques', '-', 'guard', 'pass', 'variations']",jiu jitsu techniques - guard pass variations
235,"['jiu', 'jitsu', 'techniques', '-', 'side', 'control', 'escape', '/', 'defense']",jiu jitsu techniques - side control escape / defense
